HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
41010,Adaptace na dlouhodobé změny a živelné pohromy,Nové zdroje potravin,Nové zdroje bílkovin,IN,"Hmyz, způsobilý k lidskému požívání",Insects,#4363d8,#000080
210610,Adaptace na dlouhodobé změny a živelné pohromy,Nové zdroje potravin,Nové zdroje bílkovin,IN,Koncentráty a látky texturované bílkovinné,Protein concentrates and textured protein substances,#4363d8,#000080
252390,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - stavební hmoty,IN,"Cement struskový,supersulfátový ap hydraulic.",Hydraulic cements except portland or aluminous,#f58231,#4E3112
260200,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy manganové,manganoželezné,koncentráty","Manganese ores, concentrates, iron ores >20% Manganes",#f58231,#f58231
260300,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy měděné,koncentráty",Copper ores and concentrates,#f58231,#f58231
260400,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy niklové,koncentráty",Nickel ores and concentrates,#f58231,#f58231
260500,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy kobaltové,koncentráty",Cobalt ores and concentrates,#f58231,#f58231
260600,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy hliníkové,koncentráty",Aluminium ores and concentrates,#f58231,#f58231
260700,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy olovnaté,koncentráty",Lead ores and concentrates,#f58231,#f58231
261210,Výroba nízkoemisní elektřiny a paliv,Jádro,Uran / jaderné technologie,IN,"Rudy uranové,koncentráty",Uranium ores and concentrates,#3cb44b,#6B8E23
261400,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy titanové,koncentráty",Titanium ores and concentrates,#f58231,#f58231
261690,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Rudy drahých kovů(ne stříbrné),koncentráty",Precious metal ores and concentrates except silver,#f58231,#f58231
280410,Ukládání energie,Vodik a čpavek,"Ostatní elektrické stroje, např. k výrobě vodíku / Vodík",IN,Vodík,Hydrogen,#808000,#C6E0B4
280461,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,"Křemík,obsahující nad 99,99% křemíku","Silicon, >99.99% pure",#3cb44b,#02DCA8
280469,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,"Křemík,obsahující do 99,99% křemíku","Silicon, <99.99% pure",#3cb44b,#02DCA8
280519,Ukládání energie,Baterie,Lithium / baterie,IN,"Lithium,draslík,rubidium,césium",Alkali metals other than sodium,#808000,#808000
280530,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Kovy vzácných zemin,skandium,yttrium,i smíš.","Rare-earth metals, scandium and yttrium",#f58231,#f58231
281112,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Hydrogen cyanide ""hydrocyanic acid""",Hydrogen cyanide (hydrocyanic acid),#f58231,#f58231
282010,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Oxid manganičitý,Manganese dioxide,#f58231,#f58231
282090,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Oxidy manganu ostatní(ne manganičitý),Manganese oxides other than manganese dioxide,#f58231,#f58231
282200,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Oxidy,hydroxidy kobaltu,oxid kobaltu komerční",Cobalt oxides and hydroxides,#f58231,#f58231
282410,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Oxid olovnatý(klejt,masikot)","Lead monoxide (litharge, massicot)",#f58231,#f58231
282520,Ukládání energie,Baterie,Lithium / baterie,IN,"Oxid,hydroxid lithný",Lithium oxide and hydroxide,#808000,#808000
282540,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Oxidy,hydroxidy niklu",Nickel oxides and hydroxides,#f58231,#f58231
282550,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Oxidy,hydroxidy mědi",Copper oxides and hydroxides,#f58231,#f58231
282690,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Soli fluóru komplexní ostatní,Complex fluorine salts except synthetic cryolite,#f58231,#f58231
282739,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,Chloridy ostatní,Chlorides of metals nes,#f58231,#f58231
283691,Ukládání energie,Baterie,Lithium / baterie,IN,Uhličitany lithia,Lithium carbonates,#808000,#808000
283711,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Kyanidy,kyanid-oxidy sodíku",Cyanides and cyanide oxides of sodium,#f58231,#f58231
284410,Výroba nízkoemisní elektřiny a paliv,Jádro,Uran / jaderné technologie,IN,"Uran přír,sloučeniny,slitiny,směsi,disperze","Natural uranium, its compounds, mixtures",#3cb44b,#6B8E23
284420,Výroba nízkoemisní elektřiny a paliv,Jádro,Uran / jaderné technologie,IN,"Uran oboh.U 235,plutonium,sloučeniny,slitiny","Uranium (enriched U235), plutonium compounds, alloys",#3cb44b,#6B8E23
284430,Výroba nízkoemisní elektřiny a paliv,Jádro,Uran / jaderné technologie,IN,"Uran ochuz.o U 235,thorium,sloučeniny,slitiny","Uranium (depleted U235), thorium compounds, products",#3cb44b,#6B8E23
284450,Cirkularita,Cirkularita (výrobní a obalová),Odpad a šrot ost. vzácných kovů a materiálů,IN,Články palivové jaderných reaktorů vyhořelé,Spent fuel elements of nuclear reactors,#f442d4,#911EB4
290342,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,Difluormethan (HFC-32),Difluoromethane (HFC-32),#f58231,#F8CBAD
290343,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,"Fluormethan (HFC-41), 1,2-difluorethan (HFC-152) a 1,1-difluorethan<br>(HFC-152a)","Fluoromethane, 1,2-Difluoroethane (HFC-152), 1,1-Difluoroethane (HFC-152a)",#f58231,#F8CBAD
290351,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,"2,3,3,3-Tetrafluorpropen (HFO-1234yf), 1,3,3,3-tetrafluorpropen (HFO-1234ze) a (Z)-1,1,1,4,4,4-hexafluor-2-buten<br>(HFO-13","Tetrafluoropropenes (HFO-1234yf, HFO-1234ze), Hexafluoro-2-butene (HFO-1336mzz)",#f58231,#F8CBAD
380210,Voda a ovzduší,Čištění a filtrování kapalin a plynů,"Filtrování vody, tekutin, plynů (centrifugy)",IN,Uhlí aktivní,Activated carbon,#61C0F5,#427bf4
381300,Adaptace na dlouhodobé změny a živelné pohromy,"Boj se suchem, požáry, záplavami","Rozprašovače, závlahy, hašení",IN,"Přípr,náplně pro hasicí přístr,granáty hasicí",Preparations and charges for fire-extinguishers,#4363d8,#BFFFFF
381511,Voda a ovzduší,Čištění a filtrování kapalin a plynů,"Filtrování vody, tekutin, plynů (centrifugy)",IN,Katalyzátory na nosiči s niklem jako<br>akt.látk,"Supported catalysts, nickel based",#61C0F5,#427bf4
381800,Energetické sítě,Distribuce a přenos elektřiny,Elektrické sítě a prvky,IN,Prvky chem.zušlechtěné přísad.pro elektroniku,Chemical element/compound wafers doped for electronic,#Aaffc3,#32CD32
382600,Výroba nízkoemisní elektřiny a paliv,Výroba biopaliv nové generace,Biopaliva,IN,"Bionafta a její směsi, též obsahující<br>méně než 70 % hmotnostních minerálních<br>olejů nebo olejů ze",Biodiesel and mixtures thereof,#3cb44b,#76b5c5
390940,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Pryskyřice fenolické,Phenolic resins,#D2F53C,#D2F53C
391510,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Odpady,úlomky,odřezky z polymerů ethylenu",Polyethylene waste or scrap,#f442d4,#FABED4
391520,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Odpady,úlomky,odřezky z polymerů styrenu",Polystyrene waste or scrap,#f442d4,#FABED4
391530,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Odpady,úlomky ap z polymerů vinylchloridu",Polyvinyl chloride waste or scrap,#f442d4,#FABED4
391590,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Odpady,úlomky,odřezky z plastů ostatních",Other plastics waste or scrap,#f442d4,#FABED4
392510,Adaptace na dlouhodobé změny a živelné pohromy,"Boj se suchem, požáry, záplavami","Plastové výrobky (zateplení, zadržování vody)",IN,"Nádrže,zásobníky,kádě ap z plastů,nad 300 l","Plastic reservoirs, tanks, vats, with capacity < 300l",#4363d8,#2F75B5
400300,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Kaučuk regenerovaný v prim.formách,deskách ap",Reclaimed rubber in primary forms,#f442d4,#FABED4
400400,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Odpady,úlomky,odřezky kaučuku(ne pryž),i zrna","Rubber waste, parings and scrap",#f442d4,#FABED4
401700,Cirkularita,Cirkularita (výrobní a obalová),Plastový a gumárenský odpad (recklace),IN,"Pryž tvrdá ve všech formách,odpady,výrobky","Hard rubber (eg ebonite) in all forms, articles,scrap",#f442d4,#FABED4
440121,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Štěpky,třísky dřevěné jehličnaté","Wood in chips, coniferous",#a874d4,#a874d4
440122,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Štěpky,třísky dřevěné,ne jehličnaté","Wood in chips, non-coniferous",#a874d4,#a874d4
441873,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,Sestavené podlahové desky z bambusu nebo<br>alespoň s vrchní vrstvou (nášlapná vrstva)<br>z bambusu,"Wood; assembled flooring panels, of bamboo or with at least the top layer (wear layer) of bamboo",#a874d4,#a874d4
470710,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Odpad papíru,kartónu,lepenky nebělené,vlnité",Scrap of Kraft paper,#a874d4,#a874d4
470720,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Odpad papíru,kartónu,lepenky z bělen.buničin",Scrap of bleached paper,#a874d4,#a874d4
470730,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Odpad papíru,kartónu,lepenky z dřevoviny",Scrap of mechanical pulp paper,#a874d4,#a874d4
470790,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Odpad jiný vč papíru sběr.netříděného,výmětu",Scrap of NES paper,#a874d4,#a874d4
480810,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Papír,kartón,lepenka vlnité,i perforované","Paper, corrugated",#a874d4,#a874d4
480840,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Papír kraft, krepovaný nebo plisovaný, též<br>ražený nebo perforovaný","Paper and paperboard: kraft paper, creped or crinkled, whether or not embossed or perforated, in rolls or sheets, other than paper of heading 4803",#a874d4,#a874d4
481930,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Pytle z papíru,kartónu ap,spodní část do<br>40cm","Sacks and bags, of paper, having a width > 40 cm",#a874d4,#a874d4
481940,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Pytle jiné,sáčky,tašky,kapsy ap z papíru aj","Sacks and bags, of paper, nes, including cones",#a874d4,#a874d4
482210,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,Výztuže z papíru ap k navíjení<br>příze textilní,"Bobbins, spools etc of paper, used for textile yarn",#a874d4,#a874d4
482290,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Dutinky,cívky ap výztuže ost.z papíru aj","Bobbins, spools and similar supports of paper, nes",#a874d4,#a874d4
520299,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,Odpad bavlněný ostatní,"Cotton waste, except garnetted stock",#a874d4,#a874d4
530130,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Koudel,odpad lněný","Flax tow, waste including yarn waste, garnetted stock",#a874d4,#a874d4
540500,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Monofil um.nad 67dt,pásky ap z mat.um.do<br>5mm","Artif monofilament >67dtex t<1mm, strip, straws t<5mm",#a874d4,#a874d4
560312,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,Textilie z chemic.vláken o hmot. 25-70g/m2,"Nonwovens, weighing more than 25g/m2 but not more than 70g/m2",#a874d4,#a874d4
560314,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,Textilie z chemic.vláken o hmot. nad<br>150g/m2,"Nonwovens, weighing more than 150g/m2",#a874d4,#a874d4
630510,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Pytle,pytlíky k balení zboží z juty<br>aj vl.lýk",Sacks & bags of jute or other bast fibres,#a874d4,#a874d4
630520,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Pytle,pytlíky k balení zboží z bavlny",Sacks & bags of cotton,#a874d4,#a874d4
680610,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Vlna strusková,horninová ap minerál,vč směsí","Slag wool, rock wool, similar wools, bulk, sheet, rol",#D2F53C,#D2F53C
680690,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Směsi,výr.z mater.nerost.pro izolaci tepel.aj",Mineral heat or sound insulating materials & articles,#D2F53C,#D2F53C
680800,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Desky,bloky ap z vlák.rost,hoblin ap.s pojivy","Boards, etc of veg fibre with mineral binder or cemen",#D2F53C,#D2F53C
700100,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Skleněné střepy a jiné skleněné odpady;<br>masivní sklo v kusech (kromě skla<br>ve formě prášku, granulí nebo vloček<br>a aktivov","Glass cullet, waste or scrap, glass in the mass",#D2F53C,#D2F53C
700800,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Jednotky izolační z několika tabulí skla,Multiple-walled insulating units of glass,#D2F53C,#D2F53C
700991,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,Zrcadla skleněná nezarámovaná,"Glass mirrors, unframed",#3cb44b,#02DCA8
700992,Výroba nízkoemisní elektřiny a paliv,Solární,Křemík / FVE,IN,Zrcadla skleněná zarámovaná,"Glass mirrors, framed",#3cb44b,#02DCA8
701690,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Výrobky ze skla k staveb.ap účelu,sklo<br>pěnové","Glass blocks, bricks, tiles, leaded lights, etc",#D2F53C,#D2F53C
701911,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Skleněná vlákna a stříž o délce<br>do 50 mm,"Glass Fibres: Short Strands, Up to 50mm in Length",#D2F53C,#D2F53C
701912,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Skleněná vlákna, pramence","Glass Fibres: Long Strands, Known as Rovings",#D2F53C,#D2F53C
701913,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Příze, skleněná lunta ze skleněných vláken<br>(kromě střiže (chopped strands) ze skleněných<br>vláken o délce <= 50 mm<br>a prame",Glass fibre yarns and slivers,#D2F53C,#D2F53C
701914,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Mechanicky pojené rohože ze skleněných vláken,Glass fibre mechanically bonded mats,#D2F53C,#D2F53C
701915,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Chemicky pojené rohože ze skleněných vláken,Glass fibre chemically bonded mats,#D2F53C,#D2F53C
701919,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Koláče ze skleněných vláken (textile cakes)<br>a střiže (chopped strands) o délce<br>> 50 mm,"Glass Fibres: Thin Forms like Slivers, Yarns & Threads",#D2F53C,#D2F53C
701961,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Tkaniny z pramenců (rovings) s uzavřeným<br>očkem ze skleněných vláken,Mechanically bonded glass fibre fabrics and rovings,#D2F53C,#D2F53C
701962,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Textilie z pramenců (rovings) s uzavřeným<br>očkem ze skleněných vláken, mechanicky pojené<br>(kromě tkanin)",Non-woven mechanically bonded glass fibre fabrics,#D2F53C,#D2F53C
701963,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Tkaniny s uzavřeným očkem, v plátnové<br>vazbě, ze skleněných přízí (kromě povrstvených<br>nebo laminovaných)","Plain weave mechanically bonded glass fibre fabrics, uncoated",#D2F53C,#D2F53C
701964,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Tkaniny s uzavřeným očkem, v plátnové<br>vazbě, ze skleněných přízí, povrstvené nebo<br>laminované",Coated/laminated plain weave glass fibre fabrics,#D2F53C,#D2F53C
701965,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Tkaniny s otevřeným očkem ze skleněných<br>vláken, o šířce <= 30 cm",Narrow open weave glass fibre fabrics (â‰¤30cm wide),#D2F53C,#D2F53C
701966,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Tkaniny s otevřeným očkem ze skleněných<br>vláken, o šířce > 30 cm",Wide open weave glass fibre fabrics (>30cm wide),#D2F53C,#D2F53C
701969,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Mechanicky pojené textilie ze skleněných vláken<br>(kromě textilií z pramenců (rovings) s<br>uzavřeným očkem a tkanin),Other specified glass fibre fabrics,#D2F53C,#D2F53C
701980,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,Skleněná vlna a výrobky ze skleněné<br>vlny,Glass wool products,#D2F53C,#D2F53C
701990,Budovy,Snižování energetické náročnosti budov,"Minerální a skleněné homoty, vlákna, desky - izolace",IN,"Skleněná vlákna a výrobky z nich,<br>jinde neuvedené ani nezahrnuté","Glass fibres, glass wool and articles thereof nes",#D2F53C,#D2F53C
711230,Cirkularita,Cirkularita (výrobní a obalová),Odpad a šrot ost. vzácných kovů a materiálů,IN,Popel obsahující drahé kovy,Waste and scrap of precious metal or of metal clad with precious metal: ash containing precious metal or precious metal compounds,#f442d4,#911EB4
711291,Cirkularita,Cirkularita (výrobní a obalová),Odpad a šrot ost. vzácných kovů a materiálů,IN,"Odpad a šrot ze zlata, včetně<br>kovu plátovaného zlatem a ostatní odpad<br>a šrot obsahující zlato nebo sloučeniny<br>zlata, pou","Waste and scrap of precious metals: of gold, including metal clad with gold but excluding sweepings containing other precious metals",#f442d4,#911EB4
711292,Cirkularita,Cirkularita (výrobní a obalová),Odpad a šrot ost. vzácných kovů a materiálů,IN,"Odpad a šrot z platiny, včetně<br>kovu plátovaného platinou a ostatní odpad<br>a šrot obsahující platinu nebo sloučeniny<br>plati","Waste and scrap of precious metals: of platinum, including metal clad with platinum but excluding sweepings containing other precious metals",#f442d4,#911EB4
711299,Cirkularita,Cirkularita (výrobní a obalová),Odpad a šrot ost. vzácných kovů a materiálů,IN,"Odpad a šrot ze stříbra, včetně<br>kovu plátovaného stříbrem a ostatní odpad<br>a šrot obsahující stříbro nebo sloučeniny<br>stří","Waste and scrap of precious metals: waste and scrap of precious metals including metal clad with precious metals, other than that of gold and platinum and excluding ash which contains precious metal or precious metal compounds",#f442d4,#911EB4
720410,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Odpad,šrot litinový","Waste or scrap, of cast iron",#f442d4,#D643F3
720421,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Odpad,šrot z oceli legované nerezavějící","Waste or scrap, of stainless steel",#f442d4,#D643F3
720429,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Odpad,šrot z oceli legované ostatní","Waste or scrap, of alloy steel, other than stainless",#f442d4,#D643F3
720430,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Odpad,šrot z železa,oceli pocínované","Waste or scrap, of tinned iron or steel",#f442d4,#D643F3
720441,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Třísky,hobliny,odřezky aj kovové,i svazky",Waste from the mechanical working of iron or steel ne,#f442d4,#D643F3
720449,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,"Odpad,šrot kovový ostatní","Ferrous waste or scrap, nes",#f442d4,#D643F3
720450,Cirkularita,Cirkularita (výrobní a obalová),Železný šrot,IN,Odpady přetavené v ingotech,"Remelting scrap ingots, of iron or steel",#f442d4,#D643F3
730210,Doprava,Železniční (osobní i nákladní),Železnice,IN,"Kolejnice z železa,oceli","Railway/tramway rails, iron or steel",#e6194B,#FF7171
730230,Doprava,Železniční (osobní i nákladní),Železnice,IN,"Hrotnice,výhybky aj zař.přejezdová z žel,ocel","Railway/tramway switch/crossing material, iron/steel",#e6194B,#FF7171
730240,Doprava,Železniční (osobní i nákladní),Železnice,IN,"Spojky,podkladnice kolejnicové z železa,oceli","Railway fish plates and sole plates, iron or steel",#e6194B,#FF7171
730290,Doprava,Železniční (osobní i nákladní),Železnice,IN,"Mat.ost.pro stavbu tratí žel,tram.z žel,oceli","Rail/tramway construction material of iron/steel, nes",#e6194B,#FF7171
730441,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Trouby ap z oceli nerez,bezeš,kruh,za studena","Stainless steel pipe or tubing, cold rolled",#Aaffc3,#93C674
730820,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Věže,stožáry,sloupy,pilíře z železa,oceli","Towers and lattice masts, iron or steel",#Aaffc3,#93C674
730900,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Nádrže,cisterny ap z železa,oceli,nad 300l","Reservoirs/tanks/vats/etc, iron/steel capacity >300l",#Aaffc3,#93C674
732111,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Zařízení pro vaření ap na plyn,z<br>železa,oceli","Cooking appliances for gas fuel, etc, iron or steel",#Aaffc3,#93C674
732190,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Části zaříz.varných,topných pro dom,z žel,oce",Parts for domestic non-electric thermic appliances,#Aaffc3,#93C674
732490,Energetické sítě,"Distribuce a přenos paliv, tepla",Železné a hliníkové výr. pro distribuci a ukládání paliv a energií,IN,"Výrobky sanitární(hygien)ost.z železa,oceli","Sanitary ware and parts thereof, iron or steel, nes",#Aaffc3,#93C674
740200,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Měď nerafin,anody měď.pro elektrolyt.rafinaci","Unrefined copper, copper anodes, electrolytic refinin",#f58231,#f58231
740311,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Rudy / vzácné kovy / kyanidy / Anorganická chemie,IN,"Katody,části katod z mědi rafinované",Copper cathodes and sections of cathodes unwrought,#f58231,#f58231
